timestamp,range,doppler,azimuth,elevation,power,x,y,z,comp_height,comp_velocity,u,v,label,instance
1669620728.373383,6.8944,-0.2664,-21.3072,3.7655,2.36,-2.4998,0.452776,6.40927,0.317224,0.0035999999999999,535,596,-1,0
1669620728.373383,7.3253,-0.2664,-24.9504,3.7655,7.19,-3.08339,0.481075,6.62732,0.288925,0.0035999999999999,457,599,-1,0
1669620728.373383,7.7562,-0.2664,-22.08,3.5883,14.2,-2.90985,0.485435,7.17327,0.284565,0.0035999999999999,519,592,-1,0
1669620728.373383,8.1871,-0.2664,-21.3072,2.5694,18.74,-2.97194,0.367023,7.61981,0.402977,0.0035999999999999,535,570,4,2
1669620728.373383,8.618,-0.2664,-20.976,-1.5062,21.81,-3.08398,-0.226525,8.04411,0.996525,0.0035999999999999,540,489,4,2
1669620728.373383,9.0489,-0.2664,-20.976,-1.1961,20.24,-3.23859,-0.18889,8.44739,0.95889,0.0035999999999999,540,494,4,2
1669620728.373383,9.4798,-0.2664,-20.976,-0.4873,13.2,-3.39343,-0.0806246,8.85126,0.8506246000000001,0.0035999999999999,540,507,4,2
1669620728.373383,9.9107,-0.2664,-20.5344,-1.3733,14.64,-3.47537,-0.237523,9.27833,1.007523,0.0035999999999999,549,489,4,2
1669620728.373383,10.3416,-0.2664,-20.5344,-1.3733,11.67,-3.62648,-0.24785,9.68173,1.01785,0.0035999999999999,549,489,4,2
1669620728.373383,11.2034,-0.2664,28.3728,-2.215,6.34,5.31995,-0.433005,9.85022,1.203005,0.0035999999999999,1524,445,4,5
1669620728.373383,11.6343,-0.1332,30.912,-2.215,10.66,5.97232,-0.449659,9.97427,1.219659,0.1368,1589,442,4,5
1669620728.373383,12.0652,-0.2664,28.704,-2.215,14.4,5.7904,-0.466313,10.5746,1.236313,0.0035999999999999,1533,444,4,5
1669620728.373383,12.4961,-0.2664,-7.0656,-1.0189,17.4,-1.53685,-0.222208,12.3992,0.992208,0.0035999999999999,813,488,4,3
1669620728.373383,12.927,-0.2664,-7.3968,10.3662,17.95,-1.63706,2.32607,12.6102,-1.55607,0.0035999999999999,811,702,-1,0
1669620728.373383,13.3579,-0.2664,-10.8192,10.3662,16.58,-2.46649,2.40361,12.9063,-1.63361,0.0035999999999999,746,705,-1,0
1669620728.373383,13.7888,-0.2664,-20.976,-1.0189,15.09,-4.93529,-0.245196,12.873,1.015196,0.0035999999999999,540,493,4,2
1669620728.373383,14.2197,-0.2664,-18.1056,-1.0189,11.58,-4.41835,-0.252858,13.5135,1.022858,0.0035999999999999,599,491,4,2
1669620728.373383,14.2197,-0.2664,-13.4688,-1.0189,10.26,-3.31147,-0.252858,13.8264,1.022858,0.0035999999999999,691,489,4,3
1669620728.373383,14.6506,-0.2664,-18.9888,-1.0189,17.1,-4.76631,-0.26052,13.8512,1.03052,0.0035999999999999,581,491,4,2
