timestamp,range,doppler,azimuth,elevation,power,x,y,z,comp_height,comp_velocity,u,v,label,instance
1670045839.244143,28.0085,-0.666,-34.8864,-22.4158,12.59,-14.8091,-10.6804,21.2391,11.4504,-0.406,204,-9,-1,0
1670045839.244143,28.4394,-0.666,-34.8864,-22.2386,16.67,-15.056,-10.7633,21.5932,11.5333,-0.406,204,-4,-1,0
1670045839.244143,28.8703,-0.666,-34.8864,-22.0171,15.32,-15.3082,-10.823,21.9549,11.593,-0.406,204,1,-1,0
1670045839.244143,29.3012,-0.9324,-35.328,-22.0171,10.74,-15.7079,-10.9845,22.1622,11.7545,-0.6724,192,-1,-1,0
1670045839.244143,29.7321,-0.2664,-26.6064,-7.5753,9.01,-13.1996,-3.91955,26.3516,4.6895500000000006,-0.0064,414,355,3,1
1670045839.244143,30.5939,-0.1332,-22.9632,-7.5753,8.41,-11.8317,-4.03317,27.9237,4.80317,0.1268,495,357,3,1
1670045839.244143,31.0248,0.1332,-19.7616,-10.5434,9.68,-10.3126,-5.67693,28.7047,6.44693,0.3932,561,299,3,1
1670045839.244143,31.4557,0.1332,-19.32,-10.5434,6.55,-10.2312,-5.75577,29.1831,6.52577,0.3932,570,299,3,1
1670045839.244143,31.8866,-0.2664,-25.392,-8.1069,8.63,-13.5366,-4.49666,28.5183,5.26666,-0.0064,441,344,3,1
1670045839.244143,34.472,-0.2664,-24.6192,-10.8978,9.93,-14.1016,-6.5172,30.7732,7.2872,-0.0064,457,287,3,1
1670045839.244143,34.9029,-0.1332,-24.6192,-10.7206,10.44,-14.2863,-6.49263,31.1763,7.26263,0.1268,457,290,3,1
1670045839.244143,35.3338,-0.2664,-24.6192,-10.5434,8.1,-14.471,-6.46539,31.5795,7.235390000000001,-0.0064,457,294,3,1
1670045839.244143,90.0581,-0.2664,-14.6832,-2.9238,12.71,-22.7977,-4.59366,87.0036,5.363659999999999,-0.0064,666,446,-1,0
1670045839.244143,90.489,-0.2664,-14.6832,-3.0567,13.57,-22.904,-4.82525,87.4093,5.59525,-0.0064,666,444,-1,0
1670045839.244143,90.9199,-0.2664,-14.2416,-3.2339,11.79,-22.3317,-5.12899,87.9853,5.89899,-0.0064,675,440,-1,0
1670045839.244143,103.416,-0.2664,-2.5392,-3.2339,8.63,-4.57433,-5.83393,103.15,6.60393,-0.0064,897,436,-1,0
